"Filename","FileSize","ModifiedDate"
"RP198209.gbl","114 MB","9/26/03, 10:00:00 AM"
"RP198210.gbl","117 MB","9/26/03, 10:00:00 AM"
"RP198211.gbl","114 MB","9/26/03, 10:00:00 AM"
"RP198212.gbl","117 MB","9/26/03, 10:00:00 AM"
"RP198301.gbl","117 MB","9/26/03, 10:00:00 AM"
"RP198302.gbl","106 MB","9/26/03, 10:00:00 AM"
"RP198303.gbl","117 MB","9/26/03, 10:00:00 AM"
"RP198304.gbl","114 MB","9/26/03, 10:00:00 AM"
"RP198305.gbl","117 MB","9/26/03, 10:00:00 AM"
"RP198306.gbl","114 MB","9/26/03, 10:00:00 AM"
"RP198307.gbl","117 MB","9/26/03, 10:00:00 AM"
"RP198308.gbl","117 MB","9/26/03, 10:00:00 AM"
"RP198309.gbl","114 MB","9/26/03, 10:00:00 AM"
